1.070000000000000000e+02,2.250000000000000000e+02,2.550000000000000000e+02,3.320000000000000000e+02
1.000000000000000000e+02,2.950000000000000000e+02,2.550000000000000000e+02,4.070000000000000000e+02
1.250000000000000000e+02,4.550000000000000000e+02,2.750000000000000000e+02,5.500000000000000000e+02,9.200000000000000000e+01,1.700000000000000000e+01,2.550000000000000000e+02,1.650000000000000000e+02
1.200000000000000000e+02,5.370000000000000000e+02,2.670000000000000000e+02,6.250000000000000000e+02,9.000000000000000000e+01,1.020000000000000000e+02,2.500000000000000000e+02,2.470000000000000000e+02
1.450000000000000000e+02,6.150000000000000000e+02,2.850000000000000000e+02,6.970000000000000000e+02,1.120000000000000000e+02,2.000000000000000000e+02,2.700000000000000000e+02,3.350000000000000000e+02
1.150000000000000000e+02,3.100000000000000000e+02,2.700000000000000000e+02,4.320000000000000000e+02
1.270000000000000000e+02,4.200000000000000000e+02,2.770000000000000000e+02,5.250000000000000000e+02,1.020000000000000000e+02,2.000000000000000000e+00,2.670000000000000000e+02,1.370000000000000000e+02
1.150000000000000000e+02,4.900000000000000000e+02,2.650000000000000000e+02,5.900000000000000000e+02,8.500000000000000000e+01,6.500000000000000000e+01,2.550000000000000000e+02,2.120000000000000000e+02
1.400000000000000000e+02,5.550000000000000000e+02,2.850000000000000000e+02,6.470000000000000000e+02,1.120000000000000000e+02,1.450000000000000000e+02,2.800000000000000000e+02,2.850000000000000000e+02
1.370000000000000000e+02,6.350000000000000000e+02,2.800000000000000000e+02,7.150000000000000000e+02,1.070000000000000000e+02,2.350000000000000000e+02,2.720000000000000000e+02,3.650000000000000000e+02
7.500000000000000000e+01,3.220000000000000000e+02,2.400000000000000000e+02,4.420000000000000000e+02
8.200000000000000000e+01,4.000000000000000000e+02,2.450000000000000000e+02,5.120000000000000000e+02,4.200000000000000000e+01,0.000000000000000000e+00,2.250000000000000000e+02,1.100000000000000000e+02
9.500000000000000000e+01,4.550000000000000000e+02,2.550000000000000000e+02,5.600000000000000000e+02,6.000000000000000000e+01,2.700000000000000000e+01,2.370000000000000000e+02,1.700000000000000000e+02
8.200000000000000000e+01,5.100000000000000000e+02,2.400000000000000000e+02,6.070000000000000000e+02,4.000000000000000000e+01,7.500000000000000000e+01,2.170000000000000000e+02,2.220000000000000000e+02
